,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39
T0102,2059,2204,2308,2330,2368,2382,2383,2454,2809,3017,3036,3293,3653,3661,4572,4766,4770,4953,5269,6197,6274,6290,6414,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,2301,2308,2352,2383,2618,2882,3008,3022,3037,3406,3665,4919,4958,4966,6213,6274,6412,6579,6672,6811,8155,8255,9802,9910,9945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,2059,2301,2329,2330,2356,2368,2376,2382,2383,2412,3017,3035,3131,3231,3583,3653,3661,4966,5289,6274,6669,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1513,2301,2317,2330,2371,2408,3008,3037,3406,3479,3661,3680,4147,4572,4746,4966,5269,6143,6197,6235,6290,6643,6781,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1560,1722,2031,2105,2233,2308,2330,2371,2412,2606,2881,2890,3045,3479,4105,4572,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1319,1503,1513,1519,3017,3036,3131,3227,3324,3362,3548,3680,4129,4506,5269,5483,6121,6223,6231,6263,6274,6472,6613,6643,6803,6805,8069,8279,8299,8931,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1319,1503,1513,1514,1519,2059,2317,2385,2454,2603,2809,3017,3036,3131,3227,3324,3362,3548,3680,4129,5269,5483,6121,6223,6231,6263,6274,6472,6585,6613,6643,6803,6805,8069,8299,NA,NA,NA,NA
T0314,1560,2303,2308,2313,2317,2330,2368,2379,2382,2383,2385,2412,2449,2454,2455,3008,3017,3034,3036,3037,3044,3131,3231,3324,3413,3596,3653,3680,3711,5269,6274,6669,6805,8299,NA,NA,NA,NA,NA
T0336,1319,1519,1560,2303,2308,2313,2317,2330,2368,2379,2382,2383,2449,2454,2455,2891,3017,3034,3037,3044,3324,3680,3711,5269,6274,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1513,2014,2031,2049,2211,2303,2308,2313,2317,2330,2368,2379,2382,2421,2449,2454,2458,3017,3034,3044,3231,3324,3374,3413,3653,3711,4961,5269,5483,6121,6223,6274,6285,6414,6488,6669,6805,8299,8996
T0406,1101,1210,1215,1216,1303,1476,1477,1503,1504,1590,1795,2002,2006,2049,2204,2211,2603,2606,2618,2707,2727,2912,5871,6491,6505,8464,8926,9910,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1476,2049,2303,2317,2330,2345,2368,2376,2377,2382,2408,2449,2454,2603,2881,2885,3017,3035,3037,3231,3529,3533,3548,3653,3661,3711,4966,5269,5274,6274,6285,6643,6669,9958,NA,NA,NA,NA,NA
T0410,2313,2317,2330,2368,2382,2408,2436,2449,2454,3017,3035,3231,3413,3529,3661,4966,5269,5274,6239,6526,6643,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,2313,2317,2330,2345,2368,2376,2382,2449,2454,3017,3037,3231,3529,3533,3653,3661,4966,5269,5274,6274,6669,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0502,1795,2330,2345,2368,2382,2383,2454,2455,3017,3131,3231,3293,3443,3529,3653,3661,3680,4966,5269,5274,5483,6515,6643,6669,6679,8069,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1795,2059,2330,2345,2368,2382,2383,2454,2455,3017,3131,3231,3293,3443,3529,3653,3661,3680,5269,5274,6121,6515,6643,6669,6679,6719,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1216,2330,2357,2368,2382,2383,2408,2454,2891,3017,3036,3042,3293,3443,3529,3533,3596,3653,3680,4966,5274,6643,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1560,1795,2059,3035,3131,3293,3324,3529,3548,3583,3587,3661,3680,4953,4966,5269,5274,5347,5483,6121,6223,6274,6472,6585,6643,6679,6703,6811,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,2330,2382,2408,2454,2467,3017,3019,3036,3042,3293,3443,3529,3653,4958,4966,5269,5274,5439,6146,6290,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,1795,2049,2330,2368,2382,2383,2454,2455,3017,3217,3231,3324,3526,3529,3533,3653,3661,3680,3715,4572,5269,5274,6274,6290,6643,6669,6679,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,2330,2368,2376,2379,2382,2421,2454,2455,3017,3034,3035,3131,3231,3443,3529,3680,5269,5274,6643,6669,6679,6719,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,1795,2059,2330,2368,2382,2383,2454,2455,3017,3131,3231,3293,3443,3529,3653,3661,3680,3715,5269,5274,6121,6515,6643,6669,6679,6719,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
