,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47
T0102,1513,1590,1707,2002,2049,2231,2351,2603,2606,2637,2707,2881,3008,4164,5258,5425,6143,6235,6491,6505,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1707,1760,2603,2606,2637,3665,4164,5258,5425,6143,6205,6235,6288,8069,8255,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,2059,2330,2351,2412,2637,2707,3008,3035,3081,3293,3533,3661,3665,4164,4966,5258,5285,5425,6235,6443,8046,8069,8261,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,2049,2103,2313,2330,2337,2408,2454,2603,2912,3037,3624,5607,6143,6235,6271,6643,6683,8046,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1102,1216,1301,1513,1590,1707,2002,2049,2231,2351,2603,2606,2637,2707,2881,3008,4164,5258,5425,6143,6235,6491,6505,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1504,1513,1514,1519,1795,1796,2063,2065,2327,2634,2640,3088,3260,3454,3558,4953,5009,5289,5371,5439,5903,6231,6245,6469,6472,6561,6803,6811,8279,8454,8926,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1504,1513,1514,1519,1795,1796,2327,2412,2634,3088,3260,3454,3558,4953,5009,5269,5289,5371,5439,6231,6245,6469,6472,6561,6803,6811,8454,8926,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1513,2303,2308,2313,2317,2330,2345,2368,2379,2382,2383,2408,2412,2454,3017,3034,3035,3443,3529,3533,3558,3653,3680,3711,4919,4961,5009,5269,5425,6285,6488,6515,8046,8069,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,2303,2308,2313,2317,2330,2345,2368,2379,2382,2408,2412,2454,2881,2882,3017,3034,3035,3443,3529,3533,3653,3680,4919,5269,6285,6488,6515,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1513,2014,2049,2301,2308,2330,2337,2345,2368,2376,2379,2382,2383,2395,2408,2454,2458,3017,3034,3035,3231,3443,3481,3529,3533,3558,3653,3680,3711,4961,5009,5269,5371,6274,6409,6488,6515,8046,8255,8299,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1590,2002,2006,2603,2606,2618,2707,2723,2912,3708,5871,6505,8926,8938,9910,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1303,1476,2002,2301,2303,2308,2317,2327,2330,2345,2368,2376,2377,2408,2454,2618,2707,2881,2885,2886,2891,3023,3037,3529,3533,3653,3661,3665,3711,4551,4919,4966,5269,5347,5425,5483,5871,5876,6239,6271,6285,6488,6505,6669,6679,9910
T0410,2301,2303,2308,2317,2327,2330,2345,2351,2368,2379,2383,2395,2408,2412,2454,3008,3023,3037,3529,3533,3653,3661,3711,4919,4966,5269,5274,5425,6121,6271,6415,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1476,2002,2303,2308,2317,2327,2330,2345,2351,2368,2376,2377,2408,2707,2723,2885,2891,3023,3037,3529,3533,3653,3661,3711,4551,4919,4966,5269,5425,5483,5871,5876,6239,6271,6285,6415,6488,6491,6679,8069,9910,NA,NA,NA,NA,NA,NA
T0502,1476,1504,1513,2303,2308,2330,2345,2368,2377,2408,2454,3034,3035,3037,3260,3443,3529,3533,3653,4961,4966,5269,5274,5425,6143,6147,6472,6515,6643,6669,6719,8069,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1504,2303,2308,2330,2345,2368,2377,2408,2454,3034,3260,3443,3529,3533,3592,3653,3680,4966,5269,5274,5425,6443,6472,6515,6643,6719,6782,8046,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1476,2303,2308,2330,2345,2368,2376,2408,2454,3034,3035,3443,3529,3533,3592,3653,4137,4919,4966,5269,5388,5425,6472,6643,6719,6781,8069,8299,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,2455,3034,3218,3264,3293,3443,3491,3529,3533,3558,3587,3653,3680,4137,4966,5009,5274,5347,5425,5483,5904,6143,6147,6472,6488,6510,6643,6679,6782,8069,8299,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1513,2303,2308,2330,2368,2377,2408,2454,3034,3037,3260,3443,3491,3533,3653,3711,4966,5269,5274,5425,6143,6146,6472,6488,6510,6515,6643,6669,6719,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,2303,2308,2330,2345,2368,2376,2454,3017,3034,3443,3533,3592,3653,3680,4137,4919,4961,4966,5269,5274,5388,5425,6472,6515,6643,6669,6719,8069,8299,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1477,2303,2308,2330,2345,2360,2368,2377,2408,2454,2634,3017,3034,3037,3260,3443,3529,3533,3592,3680,4919,4961,4966,5274,5388,5425,6285,6443,6488,6515,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1504,2303,2308,2330,2345,2368,2377,2408,2454,3034,3260,3443,3529,3533,3592,3653,3680,4966,5269,5274,5425,6443,6472,6515,6643,6669,6719,6782,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1477,1513,2002,2301,2303,2308,2313,2330,2368,2376,2377,2379,2382,2383,2412,2454,3017,3034,3037,3596,3711,5347,5388,5425,6239,6669,8046,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,1536,2059,2303,2308,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3152,3376,3406,3711,5269,5289,5347,6121,6271,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA,NA,NA,NA,NA
