,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
T0102,1560,1590,2049,2105,2233,2330,2345,2458,2605,2606,3037,3042,3131,3529,3583,3653,3661,4966,6121,6235,6274,6510,6531,8016,8299,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1590,2049,2317,2337,2345,2357,2454,3037,3443,3529,3533,3653,3665,4966,5269,6213,6282,6531,6643,8046,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,2059,2330,2356,2376,2382,3035,3131,3231,3583,3653,3661,4966,5289,5425,6235,6274,6531,6669,8155,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,2059,2330,2337,2408,2454,2912,3037,3661,3680,4147,4746,4966,5269,5607,6235,6510,6589,6643,6683,8299,8996,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1477,1560,1590,2049,2105,2231,2233,2458,2605,2606,2612,3042,3529,3653,4147,4164,4572,4746,4966,5009,5289,6235,6274,6531,8016,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1319,1519,2345,2385,2412,3036,3044,3081,3088,3491,4105,4506,4768,5009,5287,5289,5371,5903,5904,6121,6147,6469,6472,6505,6561,6803,8279,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1319,1477,1513,1519,2345,2385,2412,2606,2634,3036,3044,3045,3081,3088,3491,4768,4904,4961,5009,5289,5371,5904,6121,6147,6285,6469,6472,6505,6561,6803,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,2301,2303,2308,2313,2317,2330,2345,2357,2368,2376,2379,2382,2383,2408,2412,2454,2455,3017,3034,3037,3044,3045,3231,3443,3529,3653,3711,6515,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,2303,2308,2313,2317,2324,2330,2345,2368,2379,2382,2383,2412,2454,2455,2603,2881,2882,2886,3017,3034,3037,3044,3443,3529,3653,6505,6515,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,2014,2308,2313,2330,2337,2345,2360,2368,2376,2379,2382,2383,2408,2449,2454,2455,2458,3005,3017,3034,3037,3231,3443,3515,3529,3653,3711,4961,6223,6274,6285,6409,6515,6669,8255,8299,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1477,1504,1590,2002,2006,2204,2211,2603,2606,2618,2707,2727,2912,3708,5871,6505,8926,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1476,2301,2303,2308,2317,2330,2345,2368,2376,2377,2382,2383,2454,2455,2618,2707,2881,2885,2886,2891,3008,3017,3037,3443,3529,3533,3653,3661,3665,3711,4966,5425,5483,6239,6274,6285,6488,6505,6669,6679,9910
T0410,2301,2308,2330,2345,2368,2379,2382,2383,2408,2449,2454,2455,3008,3017,3529,3533,3653,3661,3711,4919,4966,5269,5274,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1476,2301,2303,2308,2317,2327,2330,2345,2368,2376,2377,2382,2383,2408,2455,2881,2885,2891,3008,3017,3037,3443,3529,3653,3661,3711,4966,5425,5483,6239,6274,6285,6488,6669,6679,9910,NA,NA,NA,NA,NA,NA
T0502,1476,2059,2330,2344,2345,2360,2368,2376,2382,2383,2408,2421,2455,3008,3017,3037,3044,3231,3260,3443,3529,3533,3653,3680,4966,5269,5274,6515,6643,6669,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1476,2059,2330,2345,2360,2368,2376,2382,2383,2408,2454,2455,3017,3044,3260,3443,3529,3533,3653,3680,4755,4966,5274,6643,6669,6782,6799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1476,1560,2059,2330,2345,2357,2368,2382,2383,2408,2454,3037,3044,3443,3529,3533,3587,3653,4966,5274,6274,6643,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1795,2345,2382,3035,3217,3218,3293,3324,3443,3526,3529,3558,3583,3587,3680,4966,5269,5274,5289,6146,6223,6274,6472,6531,6538,6643,6664,6669,6679,6782,6811,6830,8069,8086,8299,NA,NA,NA,NA,NA,NA,NA
T0508,2059,2330,2344,2345,2382,2383,2408,2449,3044,3231,3260,3443,3529,3653,4966,5269,5274,6143,6510,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,2330,2345,2351,2368,2376,2382,2383,2408,2454,2455,3017,3037,3044,3443,3526,3529,3533,3653,3680,4966,5269,5274,6274,6491,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1477,2308,2330,2344,2345,2360,2368,2376,2379,2382,2454,2455,3017,3034,3044,3231,3260,3443,3529,3653,3680,4755,5274,6643,6669,6679,6732,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,2059,2330,2345,2360,2368,2376,2382,2383,2408,2454,2455,3017,3044,3260,3443,3529,3533,3653,3680,4755,4966,5269,5274,6643,6669,6679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1477,2303,2308,2330,2345,2376,2377,2379,2382,2383,2412,2449,2454,2603,2886,3017,3034,3037,3231,3711,5425,5483,6239,6669,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1536,2059,2308,2317,2327,2330,2347,2360,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3152,3376,3406,3711,5289,5347,6121,6279,6488,6510,6670,8069,8464,9910,9914,NA,NA,NA,NA
T0605,2059,2308,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,5347,6121,6271,6488,6510,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1536,2059,2308,2317,2327,2330,2347,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,5347,6121,6271,6279,6488,6510,6670,8069,8464,9914,NA,NA,NA,NA
T0704,1504,2308,2330,2345,2368,2376,2379,2383,2385,2395,2454,3017,3035,3037,3218,3231,3443,3529,3533,3587,3653,3661,5388,6274,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1477,1504,2301,2330,2345,2368,2376,2382,2383,2454,3017,3035,3037,3044,3131,3218,3231,3443,3529,3533,3587,3653,3661,4966,5269,5289,6138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1477,2345,2368,2383,2454,3017,3035,3443,3529,3533,3653,3661,4966,5269,5483,6138,6274,6515,6719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,2330,2345,2368,2376,2382,2383,2454,2637,3017,3035,3037,3218,3231,3324,3443,3529,3533,3653,3661,3715,4966,5269,5388,6138,6274,6515,6719,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1476,1477,1519,2308,2317,2330,2344,2357,2368,2382,2383,2408,2454,3017,3034,3037,3260,3374,3443,3529,3533,3653,3661,4966,5274,6510,6531,6719,6811,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,2059,2301,2303,2308,2330,2345,2368,2376,2377,2382,2383,2408,2454,2881,2882,3017,3034,3037,3260,3443,3529,3533,3653,3661,3680,4551,5274,5388,6285,6515,6669,6719,6781,8069,NA,NA,NA,NA,NA,NA,NA,NA
T0806,1477,2345,2368,2382,2383,3017,3131,3324,3529,3587,3661,4147,4966,5274,6274,6417,6446,6510,6643,6679,8069,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2308,2330,2344,2357,2368,2382,2383,2408,3017,3037,3260,3443,3529,3533,3653,3661,4966,5274,6510,6531,6719,6811,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1477,1519,2059,2201,2204,2207,2308,2327,2345,2368,2376,2377,2382,2383,2408,2731,3017,3023,3037,3260,3293,3529,3533,3653,3661,4770,4966,5274,6417,6491,6510,6515,6531,6669,6679,8069,NA,NA,NA,NA,NA,NA
T0812,1101,1210,1301,2031,2105,2204,2308,2330,2376,2382,2408,2610,2731,2882,2886,2912,3443,3533,3587,3653,3661,4766,4770,5009,6285,6505,6669,6811,8069,8299,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0901,1519,2301,2330,2345,2368,2376,2382,2383,3017,3035,3037,3044,3217,3231,3324,3443,3529,3533,3653,3661,3675,5289,6223,6643,6669,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1519,1560,1590,2059,2345,2368,2376,2382,2383,3005,3017,3037,3044,3443,3529,3653,3661,3665,5269,5274,6274,6285,6414,6510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
